Balloon filename (gpx),station,expected timeframe
SMT\_20220719\_231514.gpx,21,2022-07-19 23:19:46+00:00 till 2022-07-19 23:20:41+00:00
SMT\_20220719\_231514.gpx,11,2022-07-19 23:22:44+00:00 till 2022-07-19 23:27:19+00:00
SMT\_20220831\_111419.gpx,11,2022-08-31 11:16:20+00:00 till 2022-08-31 11:16:26+00:00
SMT\_20220625\_111630.gpx,21,2022-06-25 12:22:22+00:00 till 2022-06-25 12:40:57+00:00
SMT\_20220625\_111630.gpx,12,2022-06-25 12:25:55+00:00 till 2022-06-25 12:45:40+00:00
SMT\_20220625\_111630.gpx,11,2022-06-25 12:25:58+00:00 till 2022-06-25 12:45:09+00:00
SMT\_20220625\_111630.gpx,13,2022-06-25 12:26:44+00:00 till 2022-06-25 12:45:40+00:00
SMT\_20220625\_111630.gpx,22,2022-06-25 12:22:25+00:00 till 2022-06-25 12:42:40+00:00
SMT\_20220625\_111630.gpx,23,2022-06-25 12:24:10+00:00 till 2022-06-25 12:43:09+00:00
SMT\_20220625\_111630.gpx,24,2022-06-25 12:26:32+00:00 till 2022-06-25 12:42:24+00:00
SMT\_20220826\_113003.gpx,21,2022-08-26 11:32:04+00:00 till 2022-08-26 11:32:42+00:00
SMT\_20220826\_113003.gpx,13,2022-08-26 11:37:48+00:00 till 2022-08-26 11:39:40+00:00
SMT\_20220626\_112912.gpx,11,2022-06-26 11:35:52+00:00 till 2022-06-26 11:37:32+00:00
SMT\_20220808\_231507.gpx,11,2022-08-08 23:18:27+00:00 till 2022-08-08 23:19:24+00:00
