Balloon filename (gpx),station,expected timeframe
SMT\_20220904\_231730.gpx,24,2022-09-04 23:22:54+00:00 till 2022-09-04 23:23:14+00:00
SMT\_20220921\_111527.gpx,12,2022-09-21 11:27:31+00:00 till 2022-09-21 11:29:09+00:00
SMT\_20220921\_111527.gpx,11,2022-09-21 11:25:37+00:00 till 2022-09-21 11:27:09+00:00
SMT\_20220921\_111527.gpx,13,2022-09-21 11:29:18+00:00 till 2022-09-21 11:30:46+00:00
SMT\_20220725\_112511.gpx,12,2022-07-25 11:29:27+00:00 till 2022-07-25 11:30:29+00:00
SMT\_20220907\_231621.gpx,23,2022-09-07 23:22:59+00:00 till 2022-09-07 23:23:40+00:00
SMT\_20220907\_231621.gpx,24,2022-09-07 23:24:09+00:00 till 2022-09-07 23:25:07+00:00
SMT\_20220827\_111534.gpx,24,2022-08-27 11:22:30+00:00 till 2022-08-27 11:23:43+00:00
SMT\_20220615\_231713.gpx,12,2022-06-15 23:21:29+00:00 till 2022-06-15 23:22:47+00:00
SMT\_20220908\_111450.gpx,12,2022-09-08 11:20:02+00:00 till 2022-09-08 11:21:40+00:00
SMT\_20220908\_111450.gpx,13,2022-09-08 11:22:39+00:00 till 2022-09-08 11:24:21+00:00
SMT\_20220616\_231523.gpx,11,2022-06-16 23:17:55+00:00 till 2022-06-16 23:18:16+00:00
SMT\_20220729\_112533.gpx,21,2022-07-29 12:19:23+00:00 till 2022-07-29 12:33:04+00:00
SMT\_20220729\_112533.gpx,12,2022-07-29 12:26:18+00:00 till 2022-07-29 12:36:15+00:00
SMT\_20220729\_112533.gpx,11,2022-07-29 12:21:20+00:00 till 2022-07-29 12:37:29+00:00
SMT\_20220704\_112103.gpx,21,2022-07-04 11:46:05+00:00 till 2022-07-04 12:00:57+00:00
SMT\_20220704\_112103.gpx,12,2022-07-04 11:48:49+00:00 till 2022-07-04 12:35:14+00:00
SMT\_20220704\_112103.gpx,11,2022-07-04 11:41:27+00:00 till 2022-07-04 11:58:58+00:00
SMT\_20220704\_112103.gpx,13,2022-07-04 11:56:33+00:00 till 2022-07-04 12:40:36+00:00
SMT\_20220704\_112103.gpx,22,2022-07-04 11:49:29+00:00 till 2022-07-04 12:25:01+00:00
SMT\_20220704\_112103.gpx,23,2022-07-04 11:54:52+00:00 till 2022-07-04 12:33:48+00:00
SMT\_20220704\_112103.gpx,24,2022-07-04 11:59:40+00:00 till 2022-07-04 12:34:54+00:00
SMT\_20220825\_112057.gpx,12,2022-08-25 11:25:22+00:00 till 2022-08-25 11:25:43+00:00
SMT\_20220712\_111713.gpx,11,2022-07-12 12:29:00+00:00 till 2022-07-12 12:30:52+00:00
SMT\_20220628\_111612.gpx,11,2022-06-28 11:19:17+00:00 till 2022-06-28 11:19:27+00:00
SMT\_20220702\_231622.gpx,21,2022-07-03 00:14:37+00:00 till 2022-07-03 00:47:11+00:00
SMT\_20220702\_231622.gpx,12,2022-07-03 00:22:20+00:00 till 2022-07-03 00:52:30+00:00
SMT\_20220702\_231622.gpx,11,2022-07-03 00:29:05+00:00 till 2022-07-03 00:52:25+00:00
SMT\_20220702\_231622.gpx,13,2022-07-03 00:21:33+00:00 till 2022-07-03 00:52:30+00:00
SMT\_20220702\_231622.gpx,22,2022-07-03 00:11:26+00:00 till 2022-07-03 00:50:35+00:00
SMT\_20220702\_231622.gpx,23,2022-07-03 00:14:24+00:00 till 2022-07-03 00:51:28+00:00
SMT\_20220702\_231622.gpx,24,2022-07-03 00:16:28+00:00 till 2022-07-03 00:51:10+00:00
SMT\_20220706\_112237.gpx,21,2022-07-06 12:48:26+00:00 till 2022-07-06 12:48:49+00:00
SMT\_20220803\_232212.gpx,21,2022-08-03 23:23:53+00:00 till 2022-08-03 23:23:54+00:00
SMT\_20220803\_232212.gpx,22,2022-08-03 23:26:19+00:00 till 2022-08-03 23:27:55+00:00
SMT\_20220803\_232212.gpx,23,2022-08-03 23:29:46+00:00 till 2022-08-03 23:34:09+00:00
SMT\_20220803\_232212.gpx,24,2022-08-03 23:34:19+00:00 till 2022-08-03 23:38:20+00:00
