Balloon filename (gpx),station,expected timeframe
SMT\_20220725\_231505.gpx,23.00,2022-07-25 23:26:39+00:00 till 2022-07-26 00:48:25+00:00
SMT\_20220725\_231505.gpx,24.00,2022-07-26 00:35:23+00:00 till 2022-07-26 00:49:53+00:00
SMT\_20220928\_111604.gpx,11.00,2022-09-28 11:34:13+00:00 till 2022-09-28 11:35:36+00:00
SMT\_20220808\_231507.gpx,11.00,2022-08-08 23:18:40+00:00 till 2022-08-08 23:19:08+00:00
SMT\_20220816\_232314.gpx,22.00,2022-08-16 23:34:34+00:00 till 2022-08-16 23:35:09+00:00
SMT\_20220704\_231605.gpx,21.00,2022-07-04 23:23:47+00:00 till 2022-07-04 23:27:33+00:00
SMT\_20220630\_112143.gpx,21.00,2022-06-30 12:26:56+00:00 till 2022-06-30 12:38:03+00:00
SMT\_20220630\_112143.gpx,12.00,2022-06-30 12:31:57+00:00 till 2022-06-30 12:44:25+00:00
SMT\_20220630\_112143.gpx,11.00,2022-06-30 12:31:26+00:00 till 2022-06-30 12:42:23+00:00
SMT\_20220630\_112143.gpx,13.00,2022-06-30 12:34:40+00:00 till 2022-06-30 12:44:06+00:00
SMT\_20220630\_112143.gpx,22.00,2022-06-30 12:28:56+00:00 till 2022-06-30 12:39:23+00:00
SMT\_20220630\_112143.gpx,23.00,2022-06-30 12:33:15+00:00 till 2022-06-30 12:37:09+00:00
SMT\_20220704\_112103.gpx,21.00,2022-07-04 11:49:20+00:00 till 2022-07-04 11:55:43+00:00
SMT\_20220704\_112103.gpx,11.00,2022-07-04 11:45:32+00:00 till 2022-07-04 11:51:31+00:00
SMT\_20220704\_112103.gpx,13.00,2022-07-04 12:10:16+00:00 till 2022-07-04 12:11:52+00:00
SMT\_20220704\_112103.gpx,22.00,2022-07-04 11:52:45+00:00 till 2022-07-04 12:02:35+00:00
SMT\_20220704\_112103.gpx,23.00,2022-07-04 11:58:37+00:00 till 2022-07-04 12:16:54+00:00
SMT\_20220704\_112103.gpx,24.00,2022-07-04 12:06:21+00:00 till 2022-07-04 12:25:28+00:00
SMT\_20220720\_111442.gpx,23.00,2022-07-20 11:46:26+00:00 till 2022-07-20 11:50:05+00:00
SMT\_20220720\_111442.gpx,24.00,2022-07-20 11:50:53+00:00 till 2022-07-20 12:03:52+00:00
SMT\_20220829\_231438.gpx,22.00,2022-08-29 23:16:33+00:00 till 2022-08-29 23:16:38+00:00
SMT\_20220829\_231438.gpx,23.00,2022-08-29 23:17:45+00:00 till 2022-08-29 23:17:58+00:00
SMT\_20220921\_231851.gpx,12.00,2022-09-22 10:46:18+00:00 till 2022-09-22 10:46:19+00:00
SMT\_20220821\_111511.gpx,21.00,2022-08-21 12:39:53+00:00 till 2022-08-21 12:56:06+00:00
SMT\_20220821\_111511.gpx,12.00,2022-08-21 12:51:06+00:00 till 2022-08-21 12:56:06+00:00
SMT\_20220821\_111511.gpx,11.00,2022-08-21 12:51:32+00:00 till 2022-08-21 12:56:06+00:00
SMT\_20220821\_111511.gpx,13.00,2022-08-21 12:52:27+00:00 till 2022-08-21 12:56:06+00:00
SMT\_20220821\_111511.gpx,22.00,2022-08-21 12:40:26+00:00 till 2022-08-21 12:56:06+00:00
SMT\_20220821\_111511.gpx,23.00,2022-08-21 12:43:03+00:00 till 2022-08-21 12:56:06+00:00
SMT\_20220724\_231539.gpx,11.00,2022-07-24 23:20:04+00:00 till 2022-07-24 23:21:11+00:00
SMT\_20220827\_111534.gpx,24.00,2022-08-27 11:23:00+00:00 till 2022-08-27 11:23:07+00:00
SMT\_20220625\_111630.gpx,21.00,2022-06-25 12:27:31+00:00 till 2022-06-25 12:35:22+00:00
SMT\_20220625\_111630.gpx,12.00,2022-06-25 12:30:09+00:00 till 2022-06-25 12:39:40+00:00
SMT\_20220625\_111630.gpx,11.00,2022-06-25 12:32:45+00:00 till 2022-06-25 12:37:21+00:00
SMT\_20220625\_111630.gpx,13.00,2022-06-25 12:30:42+00:00 till 2022-06-25 12:40:11+00:00
SMT\_20220625\_111630.gpx,22.00,2022-06-25 12:27:03+00:00 till 2022-06-25 12:37:11+00:00
SMT\_20220625\_111630.gpx,23.00,2022-06-25 12:28:31+00:00 till 2022-06-25 12:37:18+00:00
