Balloon filename (gpx),station,expected timeframe,USABLE,run/event,expected error,channels
SMT\_20220830\_231921.gpx,12.00,2022-08-30 23:22:20+00:00 till 2022-08-30 23:22:25+00:00
SMT\_20220701\_231934.gpx,22.00,2022-07-01 23:08:19+00:00 till 2022-07-01 23:08:19+00:00
SMT\_20220702\_231622.gpx,12.00,2022-07-03 00:33:14+00:00 till 2022-07-03 00:42:28+00:00
SMT\_20220702\_231622.gpx,13.00,2022-07-03 00:30:31+00:00 till 2022-07-03 00:47:03+00:00
SMT\_20220702\_231622.gpx,22.00,2022-07-03 00:29:24+00:00 till 2022-07-03 00:35:52+00:00
SMT\_20220702\_231622.gpx,23.00,2022-07-03 00:22:46+00:00 till 2022-07-03 00:41:34+00:00
SMT\_20220702\_231622.gpx,24.00,2022-07-03 00:24:41+00:00 till 2022-07-03 00:41:23+00:00
SMT\_20220921\_111527.gpx,12.00,2022-09-21 11:27:55+00:00 till 2022-09-21 11:28:43+00:00
SMT\_20220921\_111527.gpx,13.00,2022-09-21 11:29:50+00:00 till 2022-09-21 11:30:16+00:00
SMT\_20220628\_231514.gpx,12.00,2022-06-28 23:19:47+00:00 till 2022-06-28 23:20:19+00:00
SMT\_20220615\_231713.gpx,12.00,2022-06-15 23:21:44+00:00 till 2022-06-15 23:22:24+00:00
SMT\_20220617\_231459.gpx,22.00,2022-06-17 23:17:41+00:00 till 2022-06-17 23:17:51+00:00
SMT\_20220803\_232212.gpx,22.00,2022-08-03 23:26:37+00:00 till 2022-08-03 23:27:17+00:00
SMT\_20220803\_232212.gpx,23.00,2022-08-03 23:30:39+00:00 till 2022-08-03 23:32:56+00:00
SMT\_20220803\_232212.gpx,24.00,2022-08-03 23:35:22+00:00 till 2022-08-03 23:36:46+00:00
SMT\_20220716\_111633.gpx,21.00,2022-07-16 12:09:33+00:00 till 2022-07-16 12:15:00+00:00
SMT\_20220716\_111633.gpx,11.00,2022-07-16 12:12:21+00:00 till 2022-07-16 12:19:07+00:00
SMT\_20220929\_111540.gpx,12.00,2022-09-29 11:20:06+00:00 till 2022-09-29 11:20:31+00:00
SMT\_20220820\_231751.gpx,13.00,2022-08-20 23:41:47+00:00 till 2022-08-20 23:43:16+00:00
SMT\_20220820\_231751.gpx,23.00,2022-08-20 23:40:36+00:00 till 2022-08-20 23:41:38+00:00
SMT\_20220907\_112500.gpx,23.00,2022-09-07 11:28:47+00:00 till 2022-09-07 11:28:49+00:00
SMT\_20220728\_112143.gpx,12.00,2022-07-28 11:36:42+00:00 till 2022-07-28 11:37:44+00:00
SMT\_20220728\_112143.gpx,11.00,2022-07-28 11:34:00+00:00 till 2022-07-28 11:35:37+00:00
SMT\_20220728\_112143.gpx,13.00,2022-07-28 11:38:18+00:00 till 2022-07-28 11:39:13+00:00
SMT\_20220723\_231622.gpx,21.00,2022-07-23 23:25:19+00:00 till 2022-07-23 23:27:24+00:00
SMT\_20220723\_231622.gpx,22.00,2022-07-23 23:31:22+00:00 till 2022-07-23 23:33:50+00:00
SMT\_20220723\_231622.gpx,23.00,2022-07-23 23:34:49+00:00 till 2022-07-23 23:36:50+00:00
SMT\_20220828\_111632.gpx,22.00,2022-08-28 11:21:38+00:00 till 2022-08-28 11:22:36+00:00
SMT\_20220930\_231507.gpx,13.00,2022-09-30 23:19:22+00:00 till 2022-09-30 23:19:23+00:00
SMT\_20220904\_111459.gpx,21.00,2022-09-04 11:17:00+00:00 till 2022-09-04 11:17:49+00:00
SMT\_20220904\_111459.gpx,22.00,2022-09-04 11:21:12+00:00 till 2022-09-04 11:21:29+00:00
SMT\_20220726\_111605.gpx,21.00,2022-07-26 11:18:31+00:00 till 2022-07-26 11:18:47+00:00
SMT\_20220726\_111605.gpx,23.00,2022-07-26 11:27:32+00:00 till 2022-07-26 11:28:24+00:00
SMT\_20220726\_111605.gpx,24.00,2022-07-26 11:34:42+00:00 till 2022-07-26 11:40:36+00:00
SMT\_20220826\_113003.gpx,21.00,2022-08-26 11:32:14+00:00 till 2022-08-26 11:32:30+00:00
SMT\_20220826\_113003.gpx,13.00,2022-08-26 11:38:18+00:00 till 2022-08-26 11:39:04+00:00
SMT\_20220714\_231645.gpx,11.00,2022-07-14 23:30:57+00:00 till 2022-07-14 23:31:40+00:00
SMT\_20220701\_111515.gpx,11.00,2022-07-01 11:22:57+00:00 till 2022-07-01 11:25:30+00:00
SMT\_20220725\_112511.gpx,12.00,2022-07-25 11:29:41+00:00 till 2022-07-25 11:30:12+00:00
SMT\_20220703\_111803.gpx,24.00,2022-07-03 11:47:29+00:00 till 2022-07-03 11:50:43+00:00
SMT\_20220820\_111609.gpx,12.00,2022-08-20 11:24:37+00:00 till 2022-08-20 11:25:33+00:00
SMT\_20220623\_231633.gpx,13.00,2022-06-23 23:29:52+00:00 till 2022-06-23 23:30:59+00:00
SMT\_20220623\_231633.gpx,22.00,2022-06-23 23:23:50+00:00 till 2022-06-23 23:25:39+00:00
SMT\_20220703\_231627.gpx,21.00,2022-07-04 00:21:36+00:00 till 2022-07-04 00:42:14+00:00
SMT\_20220703\_231627.gpx,12.00,2022-07-04 00:32:03+00:00 till 2022-07-04 00:45:17+00:00
SMT\_20220703\_231627.gpx,11.00,2022-07-04 00:32:02+00:00 till 2022-07-04 00:47:35+00:00
SMT\_20220703\_231627.gpx,22.00,2022-07-04 00:21:47+00:00 till 2022-07-04 00:40:30+00:00
SMT\_20220703\_231627.gpx,23.00,2022-07-04 00:26:31+00:00 till 2022-07-04 00:34:55+00:00
SMT\_20220624\_231528.gpx,24.00,2022-06-25 00:29:26+00:00 till 2022-06-25 00:35:21+00:00
SMT\_20220916\_231807.gpx,22.00,2022-09-16 23:21:25+00:00 till 2022-09-16 23:21:49+00:00
SMT\_20220908\_111450.gpx,12.00,2022-09-08 11:20:23+00:00 till 2022-09-08 11:21:08+00:00
SMT\_20220908\_111450.gpx,13.00,2022-09-08 11:23:08+00:00 till 2022-09-08 11:23:54+00:00
SMT\_20220817\_111600.gpx,21.00,2022-08-17 11:31:37+00:00 till 2022-08-17 11:33:56+00:00
SMT\_20220729\_112533.gpx,11.00,2022-07-29 12:26:35+00:00 till 2022-07-29 12:31:35+00:00
SMT\_20220907\_231621.gpx,24.00,2022-09-07 23:24:23+00:00 till 2022-09-07 23:24:51+00:00
SMT\_20220630\_231835.gpx,21.00,2022-07-01 00:18:16+00:00 till 2022-07-01 00:32:45+00:00
SMT\_20220630\_231835.gpx,12.00,2022-07-01 00:25:19+00:00 till 2022-07-01 00:38:40+00:00
SMT\_20220630\_231835.gpx,11.00,2022-07-01 00:24:24+00:00 till 2022-07-01 00:37:58+00:00
SMT\_20220630\_231835.gpx,13.00,2022-07-01 00:30:30+00:00 till 2022-07-01 00:37:06+00:00
SMT\_20220630\_231835.gpx,22.00,2022-07-01 00:22:24+00:00 till 2022-07-01 00:34:12+00:00
SMT\_20220826\_231852.gpx,23.00,2022-08-26 23:27:09+00:00 till 2022-08-26 23:27:51+00:00
SMT\_20220826\_231852.gpx,24.00,2022-08-26 23:29:02+00:00 till 2022-08-26 23:29:48+00:00
SMT\_20220624\_111844.gpx,13.00,2022-06-24 11:33:51+00:00 till 2022-06-24 11:34:42+00:00
SMT\_20220624\_111844.gpx,22.00,2022-06-24 11:31:46+00:00 till 2022-06-24 11:32:35+00:00
SMT\_20220707\_112434.gpx,21.00,2022-07-07 12:31:12+00:00 till 2022-07-07 12:48:00+00:00
